Station Number,X Coordinate,Y Coordinate
31050,-77.08777,38.884961
31051,-77.077294,38.889365
31258,-77.049426,38.888251
31259,-77.045128,38.894722
31265,-77.018677,38.90093
31308,-77.077078,38.943837
31309,-77.082426,38.954812
31627,-77.0021304488182,38.905469714943266
31053,-77.080319,38.863833
31054,-77.086733,38.857803
31055,-77.069275,38.846222
31114,-77.041571,38.918809
31403,-77.0198142528534,38.956555547721955
31405,-77.027333,38.949662
31406,-77.032652,38.942016
31407,-77.032947,38.956432
31056,-77.075104,38.847977
31057,-77.085931,38.8444
31058,-77.09586,38.860789
31059,-77.095431,38.84736
31060,-77.089555,38.84232
31061,-77.084918,38.848454
32006,-77.029417,38.987
31312,-77.063586,38.90849
31062,-77.06714,38.896553
31310,-77.069956,38.955016
31267,-77.038359,38.908142
31117,-77.0352,38.92333
31629,-76.995193,38.889988
31509,-77.017669,38.912659
31630,-76.983326,38.889908
31631,-76.994749,38.897274
31510,-76.978924,38.927095
31632,-76.983575,38.897195
31511,-76.990955,38.928644
31800,-76.99937582015991,38.84322988730829
31807,-76.990037,38.863897
31512,-76.987211,38.903732
31268,-77.028139,38.916787
31063,-77.105022,38.852248
31064,-77.039511,38.865029
31065,-77.08596,38.880705
31066,-77.072315,38.867262
31269,-77.001955,38.887378
31270,-77.02324,38.894851
31118,-77.01597,38.917622
31513,-77.004746,38.918155
31271,-77.013917,38.892275
31272,-77.013769,38.886978
31633,-77.025762,38.887312
31514,-76.997194,38.927497
31067,-77.086599,38.862478
31068,-77.11153,38.856319
31069,-77.107906,38.871822
32001,-77.023082,38.985404
32002,-77.097426,38.981103
32003,-77.09221,38.983838
32004,-77.192672,39.096312
32005,-77.202501,39.093783
32000,-77.096539,38.988562
32007,-77.151291,39.084125
32008,-77.098029,38.98954
32010,-77.011336,38.98128
32011,-77.006311,38.983627
32012,-77.02918,38.99521
32013,-77.095367,38.983525
32014,-77.085998,38.961763
31119,-77.031887,38.921074
31634,-77.0024,38.87501
31120,-77.025672,38.920387
31635,-76.994468,38.876737
32015,-77.156985,39.120045
32016,-77.188014,39.099376
32017,-77.149162,39.083673
32018,-77.15741,39.123513
32019,-77.02935,38.990249
32020,-77.152072,39.107709
32021,-77.091991,38.982456
32022,-77.04456299543381,39.02538719623632
32023,-77.159048,39.095661
32024,-77.023854,38.989724
32025,-77.01121,38.975
32026,-77.006472,38.977933
32027,-77.100104,38.992375
32028,-77.100239,38.990639
32029,-77.094589,38.977093
32030,-77.200322,39.102099
32031,-77.132954,39.094103
32032,-77.141378,39.076331
32033,-77.177091,39.102212
32034,-77.029457,38.992679
32035,-77.031555,38.999388
32036,-77.025608,38.997033
32037,-77.171487,39.114688
32038,-77.182669,39.110314
31121,-77.050046,38.923583
31636,-77.015231,38.90706
31710,-76.931862,38.898536
31711,-76.933099,38.908473
31273,-77.03023,38.878433
31070,-77.089233,38.873755
31071,-77.05428,38.862753
32039,-77.109647,38.999634
32040,-77.088659,38.96115
31637,-77.008911,38.899703
31072,-77.09482,38.837666
31073,-77.082104,38.873219
31074,-77.095596,38.869418
31313,-77.062036,38.941154
32041,-77.196442,39.103091
32042,-77.196636,39.097636
32043,-77.023894,38.997445
32044,-77.145803,39.085394
31638,-77.012108,38.900358
31515,-77.002721,38.952369
31408,-77.016855,38.975219
31516,-76.995876,38.920682
31075,-77.076131,38.866471
31076,-77.087083,38.839912
32045,-77.166093,39.119765
32046,-77.103381,38.964992
32047,-77.146866,39.084379
32048,-77.094537,38.984691
31077,-77.071301,38.88992
31314,-77.0676684380669,38.903662690050474
31081,-77.060866,38.804378
31079,-77.09169,38.894941
31078,-77.104503,38.869442
31274,-77.02623546123505,38.89824328774852
31080,-77.080851,38.897612
31275,-77.051084,38.901755
31082,-77.068952,38.801111
31083,-77.047494,38.82175
31084,-77.063562,38.802677
31085,-77.057619,38.820064
31086,-77.058541,38.82595
31087,-77.053096,38.820932
31088,-77.059821,38.833077
31089,-77.084801,38.890612
32049,-77.000035,38.986743
31090,-77.05003,38.865553
31315,-77.07513481378555,38.96454350924588
31276,-77.034846,38.90366
31277,-77.039624,38.89841
32050,-77.034499,38.997653
31278,-77.041834,38.912648
31091,-77.063275,38.859254
31517,-76.99707,38.907908
31092,-77.104562,38.896456
31093,-77.078317,38.898984
31094,-77.09713,38.895377
31279,-77.043182,38.898412
31522,-77.00356006622314,38.914751108831155
31902,-77.12712,38.876528
31095,-77.06812083721161,38.86215024521491
31293,-77.061043,38.902814
31280,-77.027025,38.913761
31096,-77.08787,38.86612
31639,-77.003666,38.89967
31281,-77.02277,38.90864
31411,-77.027855,38.961339
31712,-76.974828,38.894474
31640,-76.9929,38.896134
31518,-76.983683,38.915604
31316,-77.08059,38.946182
32051,-77.076986,38.994113
32052,-77.194774,39.105295
31900,-77.118009,38.898301
31097,-77.044097,38.812718
31098,-77.059817,38.80704
31099,-77.049468,38.813485
32053,-77.097882,38.999378
31901,-77.127671,38.884829
31317,-77.084636,38.958267
31122,-77.03625,38.928893
31282,-77.036278,38.912652
32054,-77.051168,38.999679
32055,-77.093522,38.979875
31283,-77.031737,38.903658
31519,-77.012365,38.908643
31811,-77.008133,38.831516
31284,-77.041544,38.893511
31285,-77.048728,38.909394
32056,-77.038721,38.995681
31903,-77.0447,38.799267
31123,-77.032375,38.925284
31910,-77.049265,38.822738
31286,-77.02714,38.90843
31287,-77.02601015567778,38.88432272414662
31318,-77.065115,38.947156
31641,-77.003135,38.894972
31908,-77.086031,38.828437
31904,-77.155988,38.884859
31905,-77.135271,38.880992
31906,-77.061715,38.812711
31913,-77.06282079219818,38.82005823354218
31288,-77.017253,38.890493
31289,-77.049379,38.890544
31290,-77.038325,38.888097
31907,-77.0487,38.798133
31909,-77.064016,38.843422
31642,-77.01397,38.903598
31912,-77.063093,38.841291
31914,-77.053766,38.797557
31915,-77.047783,38.818748
31916,-77.047844,38.829545
